RunNum,SetNum,BattleNum,FirstStim,SecondStim,Outcome,OutcomeNum,Tone,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,wait.started,firststim_image.started,firststim_resp.started,firststim_resp.keys,firststim_resp.rt,isi_stim,isi_stim.started,isi_stim.stopped,secondstim_image.started,secondstim_resp.started,secondstim_resp.keys,secondstim_resp.rt,isi_outcome,isi_outcome.started,isi_outcome.stopped,outcome_image.started,tone.started,tone.stopped,jitter_iti,iti.started,iti.stopped,completion_prompt.started,completion_prompt_resp.started,completion_prompt_resp.keys,completion_prompt_resp.rt,participant,run,date,expName,psychopyVersion,frameRate,
1,3,17,img/lion.png,img/fist.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,9,9,31,,,,,,117.88690125534777,117.88690125534777,c,1.4713247452164069,0.5,119.38639821566176,119.88717745081522,119.88717745081522,119.88717745081522,c,0.6599167089443654,0.25,120.57003203127533,121.07227160327602,121.07227160327602,121.25396121368976,122.55492178199347,2.0,122.57171764806844,124.5751255749492,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,1,33,img/cat.png,img/fist.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,10,10,1,,,,,,124.5751255749492,124.5751255749492,a,1.3293364171404392,1.0,125.92412790085655,126.92552338459063,126.92552338459063,126.92552338459063,a,1.542997024487704,0.25,128.4926094263792,128.99461859860457,128.99461859860457,129.17628232453717,130.47878372762352,1.0,130.4955548469443,131.4967731217621,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,5,13,img/fist.png,img/goose.png,img/won.png,1,img/Silent.wav,0,11,11,10,,,,,,131.4967731217621,131.4967731217621,c,1.121513459715061,0.5,132.64564983709715,133.14789652021136,133.14789652021136,133.14789652021136,c,1.8422139207832515,0.25,135.01415707636625,135.55883289093617,135.55883289093617,135.69766215240816,137.00075121724512,1.0,137.01557702221908,138.0177996698767,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,8,8,img/grenade.png,img/cat.png,img/won.png,1,img/Silent.wav,0,12,12,17,,,,,,138.0177996698767,138.0177996698767,a,0.9305185106350109,1.0,138.9667276989203,139.96933349291794,139.96933349291794,139.96933349291794,a,1.9791453984798864,0.25,141.96890654205345,142.51207110413816,142.51207110413816,142.65275380463572,143.96091934666038,0.5,143.98813241557218,144.48990464571398,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,2,12,img/goose.png,img/grenade.png,img/won.png,1,img/Silent.wav,0,13,13,14,,,,,,144.48990464571398,144.48990464571398,a,2.006368422997184,2.0,146.5220789918676,148.52455308823846,148.52455308823846,148.52455308823846,a,0.7299133270280436,0.25,149.27422761288472,149.8246563130524,149.8246563130524,149.97448787937174,151.28072574245743,1.5,151.29406959260814,152.79518816981,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,3,18,img/lion.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,14,14,34,,,,,,152.79518816981,152.79518816981,c,1.401049087406136,2.0,154.22759780823253,156.2300812912872,156.2300812912872,156.2300812912872,c,0.7230966197093949,0.25,156.9798508202657,157.4875744781457,157.4875744781457,157.68011421576375,158.9811743395403,2.0,158.99790051672608,161.0012251015287,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,4,26,img/grizzly.png,img/stick.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,15,15,25,,,,,,161.0012251015287,161.0012251015287,c,1.0320258662104607,2.0,162.0500172515167,164.0521630991716,164.0521630991716,164.0521630991716,c,1.0449766144156456,0.25,165.1189292834606,165.62026546045672,165.62026546045672,165.80262465268606,167.10348026105203,2.0,167.12040611810517,169.1236928717699,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,1,2,img/cat.png,img/stick.png,img/won.png,1,img/Silent.wav,0,16,16,6,,,,,,169.1236928717699,169.1236928717699,c,1.1774687700672075,1.0,170.3224872831488,171.32415526441764,171.32415526441764,171.32415526441764,a,1.4729338464094326,0.25,172.82477691746317,173.37683064781595,173.37683064781595,173.50968857045518,174.81211857800372,1.5,174.82776045345236,176.32977190124802,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,1,4,img/cat.png,img/grenade.png,img/won.png,1,img/Silent.wav,0,17,17,2,,,,,,176.32977190124802,176.32977190124802,a,1.2757772653130814,1.5,177.6279263983015,179.13120248529594,179.13120248529594,179.13120248529594,a,0.6680964732076973,0.25,179.82953055028338,180.37233073927928,180.37233073927928,180.51306549302535,181.82106804836076,1.0,181.84839233511593,182.85028019174933,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
1,2,9,img/goose.png,img/fist.png,img/lost.png,0,img/WhiteNoiseLong.wav,0,18,18,13,,,,,,182.85028019174933,182.85028019174933,a,0.9423701661871746,1.5,183.81575178471394,185.31829741888214,185.31829741888214,185.31829741888214,c,1.8131385952001438,0.25,187.15180165576749,187.65609548450448,187.65609548450448,187.83568618056597,189.13585400267038,2.0,189.15274828637484,191.15586579567753,,,,,Maddy,001,2023-12-14_09h12.51.197,Safety_Run1_Tone,2023.1.0,59.93993434150531,
