3.6573 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
321.3759 	DATA 	Keypress: t
322.9748 	DATA 	Keypress: lshift
322.9749 	DATA 	Keypress: t
323.3589 	DATA 	Keypress: lshift
323.3590 	DATA 	Keypress: c
324.5594 	DATA 	Keypress: lshift
324.5595 	DATA 	Keypress: t
325.9774 	DATA 	Keypress: lshift
325.9775 	DATA 	Keypress: c
326.1610 	DATA 	Keypress: lshift
326.1611 	DATA 	Keypress: t
326.6120 	DATA 	Keypress: lshift
326.6121 	DATA 	Keypress: c
327.7628 	DATA 	Keypress: lshift
327.7629 	DATA 	Keypress: t
329.3633 	DATA 	Keypress: lshift
329.3634 	DATA 	Keypress: t
330.9636 	DATA 	Keypress: lshift
330.9637 	DATA 	Keypress: t
331.0811 	DATA 	Keypress: lshift
331.0812 	DATA 	Keypress: b
332.5655 	DATA 	Keypress: lshift
332.5656 	DATA 	Keypress: t
334.1662 	DATA 	Keypress: lshift
334.1663 	DATA 	Keypress: t
334.8504 	DATA 	Keypress: lshift
334.8505 	DATA 	Keypress: c
335.7671 	DATA 	Keypress: lshift
335.7672 	DATA 	Keypress: t
337.3685 	DATA 	Keypress: lshift
337.3686 	DATA 	Keypress: t
338.9693 	DATA 	Keypress: lshift
338.9694 	DATA 	Keypress: t
339.5529 	DATA 	Keypress: lshift
339.5530 	DATA 	Keypress: c
340.5705 	DATA 	Keypress: lshift
340.5706 	DATA 	Keypress: t
341.8223 	DATA 	Keypress: lshift
341.8224 	DATA 	Keypress: c
342.1736 	DATA 	Keypress: lshift
342.1738 	DATA 	Keypress: t
343.7734 	DATA 	Keypress: lshift
343.7735 	DATA 	Keypress: t
344.2897 	DATA 	Keypress: lshift
344.2898 	DATA 	Keypress: c
344.9746 	DATA 	Keypress: lshift
344.9747 	DATA 	Keypress: c
345.3741 	DATA 	Keypress: lshift
345.3742 	DATA 	Keypress: t
345.5088 	DATA 	Keypress: lshift
345.5089 	DATA 	Keypress: c
346.9753 	DATA 	Keypress: lshift
346.9754 	DATA 	Keypress: t
348.5266 	DATA 	Keypress: lshift
348.5267 	DATA 	Keypress: c
348.5622 	DATA 	Keypress: lshift
348.5623 	DATA 	Keypress: t
349.5440 	DATA 	Keypress: lshift
349.5441 	DATA 	Keypress: a
350.1628 	DATA 	Keypress: lshift
350.1629 	DATA 	Keypress: t
351.7623 	DATA 	Keypress: lshift
351.7624 	DATA 	Keypress: t
352.6132 	DATA 	Keypress: a
353.3631 	DATA 	Keypress: lshift
353.3632 	DATA 	Keypress: t
354.9650 	DATA 	Keypress: lshift
354.9651 	DATA 	Keypress: t
356.5655 	DATA 	Keypress: lshift
356.5656 	DATA 	Keypress: t
357.0170 	DATA 	Keypress: lshift
357.0171 	DATA 	Keypress: a
358.1663 	DATA 	Keypress: lshift
358.1664 	DATA 	Keypress: t
359.1361 	DATA 	Keypress: lshift
359.1363 	DATA 	Keypress: b
359.7676 	DATA 	Keypress: lshift
359.7677 	DATA 	Keypress: t
361.3695 	DATA 	Keypress: lshift
361.3696 	DATA 	Keypress: t
362.9704 	DATA 	Keypress: lshift
362.9705 	DATA 	Keypress: t
363.6379 	DATA 	Keypress: lshift
363.6380 	DATA 	Keypress: b
364.5715 	DATA 	Keypress: lshift
364.5716 	DATA 	Keypress: t
365.6889 	DATA 	Keypress: lshift
365.6890 	DATA 	Keypress: b
366.1724 	DATA 	Keypress: lshift
366.1725 	DATA 	Keypress: t
367.7756 	DATA 	Keypress: lshift
367.7758 	DATA 	Keypress: t
369.3744 	DATA 	Keypress: lshift
369.3745 	DATA 	Keypress: t
370.5590 	DATA 	Keypress: lshift
370.5591 	DATA 	Keypress: c
370.9604 	DATA 	Keypress: lshift
370.9605 	DATA 	Keypress: t
372.5609 	DATA 	Keypress: lshift
372.5610 	DATA 	Keypress: t
373.2619 	DATA 	Keypress: lshift
373.2619 	DATA 	Keypress: b
374.1623 	DATA 	Keypress: lshift
374.1624 	DATA 	Keypress: t
375.7627 	DATA 	Keypress: lshift
375.7628 	DATA 	Keypress: t
377.3636 	DATA 	Keypress: lshift
377.3637 	DATA 	Keypress: t
377.5146 	DATA 	Keypress: lshift
377.5151 	DATA 	Keypress: a
378.9645 	DATA 	Keypress: lshift
378.9646 	DATA 	Keypress: t
380.1496 	DATA 	Keypress: lshift
380.1497 	DATA 	Keypress: b
380.5656 	DATA 	Keypress: lshift
380.5658 	DATA 	Keypress: t
382.1676 	DATA 	Keypress: lshift
382.1678 	DATA 	Keypress: t
383.7681 	DATA 	Keypress: lshift
383.7682 	DATA 	Keypress: t
384.3861 	DATA 	Keypress: lshift
384.3861 	DATA 	Keypress: a
385.3696 	DATA 	Keypress: lshift
385.3697 	DATA 	Keypress: t
386.9724 	DATA 	Keypress: lshift
386.9726 	DATA 	Keypress: t
387.3891 	DATA 	Keypress: b
388.5715 	DATA 	Keypress: lshift
388.5716 	DATA 	Keypress: t
390.1604 	DATA 	Keypress: lshift
390.1605 	DATA 	Keypress: t
391.7741 	DATA 	Keypress: lshift
391.7742 	DATA 	Keypress: t
391.7914 	DATA 	Keypress: lshift
391.7915 	DATA 	Keypress: a
393.3601 	DATA 	Keypress: lshift
393.3602 	DATA 	Keypress: t
394.9598 	DATA 	Keypress: lshift
394.9599 	DATA 	Keypress: t
395.6939 	DATA 	Keypress: b
396.5622 	DATA 	Keypress: lshift
396.5623 	DATA 	Keypress: t
398.1621 	DATA 	Keypress: lshift
398.1622 	DATA 	Keypress: t
399.6137 	DATA 	Keypress: lshift
399.6138 	DATA 	Keypress: a
399.7631 	DATA 	Keypress: lshift
399.7632 	DATA 	Keypress: t
401.3641 	DATA 	Keypress: lshift
401.3642 	DATA 	Keypress: t
402.9651 	DATA 	Keypress: lshift
402.9652 	DATA 	Keypress: t
403.1992 	DATA 	Keypress: lshift
403.1993 	DATA 	Keypress: a
404.5670 	DATA 	Keypress: lshift
404.5671 	DATA 	Keypress: t
406.1678 	DATA 	Keypress: lshift
406.1679 	DATA 	Keypress: t
407.7687 	DATA 	Keypress: lshift
407.7688 	DATA 	Keypress: t
408.1036 	DATA 	Keypress: lshift
408.1037 	DATA 	Keypress: a
409.3706 	DATA 	Keypress: lshift
409.3707 	DATA 	Keypress: t
410.9722 	DATA 	Keypress: lshift
410.9724 	DATA 	Keypress: t
411.6893 	DATA 	Keypress: lshift
411.6894 	DATA 	Keypress: b
412.5734 	DATA 	Keypress: lshift
412.5737 	DATA 	Keypress: t
414.1739 	DATA 	Keypress: lshift
414.1740 	DATA 	Keypress: t
415.7746 	DATA 	Keypress: lshift
415.7747 	DATA 	Keypress: t
416.0260 	DATA 	Keypress: lshift
416.0261 	DATA 	Keypress: c
417.3601 	DATA 	Keypress: lshift
417.3602 	DATA 	Keypress: t
418.5611 	DATA 	Keypress: lshift
418.5612 	DATA 	Keypress: c
418.9601 	DATA 	Keypress: lshift
418.9602 	DATA 	Keypress: t
420.5623 	DATA 	Keypress: lshift
420.5624 	DATA 	Keypress: t
422.1621 	DATA 	Keypress: lshift
422.1622 	DATA 	Keypress: t
422.5968 	DATA 	Keypress: lshift
422.5969 	DATA 	Keypress: a
423.7634 	DATA 	Keypress: lshift
423.7636 	DATA 	Keypress: t
424.7489 	DATA 	Keypress: lshift
424.7490 	DATA 	Keypress: b
425.3644 	DATA 	Keypress: lshift
425.3645 	DATA 	Keypress: t
426.9659 	DATA 	Keypress: lshift
426.9660 	DATA 	Keypress: t
428.5675 	DATA 	Keypress: lshift
428.5676 	DATA 	Keypress: t
429.4865 	DATA 	Keypress: b
430.1689 	DATA 	Keypress: lshift
430.1690 	DATA 	Keypress: t
431.7690 	DATA 	Keypress: lshift
431.7692 	DATA 	Keypress: t
432.6538 	DATA 	Keypress: b
433.3714 	DATA 	Keypress: lshift
433.3716 	DATA 	Keypress: t
434.9728 	DATA 	Keypress: lshift
434.9730 	DATA 	Keypress: t
436.3578 	DATA 	Keypress: a
436.5732 	DATA 	Keypress: lshift
436.5733 	DATA 	Keypress: t
438.1741 	DATA 	Keypress: lshift
438.1742 	DATA 	Keypress: t
438.1910 	DATA 	Keypress: a
439.7604 	DATA 	Keypress: lshift
439.7605 	DATA 	Keypress: t
