3.5463 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
178.0942 	DATA 	Keypress: t
179.6931 	DATA 	Keypress: lshift
179.6932 	DATA 	Keypress: t
181.2942 	DATA 	Keypress: lshift
181.2943 	DATA 	Keypress: t
182.1286 	DATA 	Keypress: lshift
182.1287 	DATA 	Keypress: a
182.8798 	DATA 	Keypress: lshift
182.8800 	DATA 	Keypress: t
183.2459 	DATA 	Keypress: lshift
183.2460 	DATA 	Keypress: a
184.4802 	DATA 	Keypress: lshift
184.4803 	DATA 	Keypress: t
186.0811 	DATA 	Keypress: lshift
186.0812 	DATA 	Keypress: t
187.6821 	DATA 	Keypress: lshift
187.6822 	DATA 	Keypress: t
188.1851 	DATA 	Keypress: lshift
188.1853 	DATA 	Keypress: a
189.2833 	DATA 	Keypress: lshift
189.2834 	DATA 	Keypress: t
189.7671 	DATA 	Keypress: lshift
189.7672 	DATA 	Keypress: a
190.8840 	DATA 	Keypress: lshift
190.8841 	DATA 	Keypress: t
192.4854 	DATA 	Keypress: lshift
192.4854 	DATA 	Keypress: t
194.0862 	DATA 	Keypress: lshift
194.0863 	DATA 	Keypress: t
194.2880 	DATA 	Keypress: lshift
194.2881 	DATA 	Keypress: a
195.4053 	DATA 	Keypress: lshift
195.4054 	DATA 	Keypress: a
195.6884 	DATA 	Keypress: lshift
195.6885 	DATA 	Keypress: t
197.2893 	DATA 	Keypress: lshift
197.2894 	DATA 	Keypress: t
198.8910 	DATA 	Keypress: lshift
198.8912 	DATA 	Keypress: t
199.3100 	DATA 	Keypress: c
200.4921 	DATA 	Keypress: lshift
200.4923 	DATA 	Keypress: t
202.0119 	DATA 	Keypress: c
202.0945 	DATA 	Keypress: lshift
202.0947 	DATA 	Keypress: t
203.6936 	DATA 	Keypress: lshift
203.6937 	DATA 	Keypress: t
205.2951 	DATA 	Keypress: lshift
205.2952 	DATA 	Keypress: t
206.4959 	DATA 	Keypress: c
206.8800 	DATA 	Keypress: lshift
206.8801 	DATA 	Keypress: t
208.4801 	DATA 	Keypress: lshift
208.4802 	DATA 	Keypress: t
208.5831 	DATA 	Keypress: c
210.0819 	DATA 	Keypress: lshift
210.0820 	DATA 	Keypress: t
211.6827 	DATA 	Keypress: lshift
211.6828 	DATA 	Keypress: t
213.0342 	DATA 	Keypress: lshift
213.0343 	DATA 	Keypress: a
213.2877 	DATA 	Keypress: lshift
213.2879 	DATA 	Keypress: t
214.8020 	DATA 	Keypress: lshift
214.8021 	DATA 	Keypress: a
214.8850 	DATA 	Keypress: lshift
214.8851 	DATA 	Keypress: t
216.4857 	DATA 	Keypress: lshift
216.4858 	DATA 	Keypress: t
218.0872 	DATA 	Keypress: lshift
218.0873 	DATA 	Keypress: t
219.6056 	DATA 	Keypress: c
219.6885 	DATA 	Keypress: lshift
219.6886 	DATA 	Keypress: t
221.2235 	DATA 	Keypress: c
221.2896 	DATA 	Keypress: lshift
221.2897 	DATA 	Keypress: t
222.8904 	DATA 	Keypress: lshift
222.8905 	DATA 	Keypress: t
224.0757 	DATA 	Keypress: c
224.4924 	DATA 	Keypress: lshift
224.4925 	DATA 	Keypress: t
225.1098 	DATA 	Keypress: lshift
225.1099 	DATA 	Keypress: a
226.0932 	DATA 	Keypress: lshift
226.0933 	DATA 	Keypress: t
227.6945 	DATA 	Keypress: lshift
227.6946 	DATA 	Keypress: t
228.9789 	DATA 	Keypress: lshift
228.9790 	DATA 	Keypress: a
229.2799 	DATA 	Keypress: lshift
229.2800 	DATA 	Keypress: t
230.8798 	DATA 	Keypress: lshift
230.8799 	DATA 	Keypress: t
231.5479 	DATA 	Keypress: lshift
231.5480 	DATA 	Keypress: a
232.4813 	DATA 	Keypress: lshift
232.4814 	DATA 	Keypress: t
234.0827 	DATA 	Keypress: lshift
234.0828 	DATA 	Keypress: t
235.6827 	DATA 	Keypress: lshift
235.6828 	DATA 	Keypress: t
235.9842 	DATA 	Keypress: lshift
235.9843 	DATA 	Keypress: a
237.2840 	DATA 	Keypress: lshift
237.2842 	DATA 	Keypress: t
237.6017 	DATA 	Keypress: lshift
237.6018 	DATA 	Keypress: a
238.8852 	DATA 	Keypress: lshift
238.8853 	DATA 	Keypress: t
240.4867 	DATA 	Keypress: lshift
240.4868 	DATA 	Keypress: t
242.0875 	DATA 	Keypress: lshift
242.0876 	DATA 	Keypress: t
242.3387 	DATA 	Keypress: lshift
242.3388 	DATA 	Keypress: a
243.3557 	DATA 	Keypress: lshift
243.3558 	DATA 	Keypress: a
243.6890 	DATA 	Keypress: lshift
243.6891 	DATA 	Keypress: t
245.2902 	DATA 	Keypress: lshift
245.2903 	DATA 	Keypress: t
246.4414 	DATA 	Keypress: lshift
246.4415 	DATA 	Keypress: a
246.8910 	DATA 	Keypress: lshift
246.8911 	DATA 	Keypress: t
247.6925 	DATA 	Keypress: lshift
247.6926 	DATA 	Keypress: a
248.4926 	DATA 	Keypress: lshift
248.4927 	DATA 	Keypress: t
250.0939 	DATA 	Keypress: lshift
250.0940 	DATA 	Keypress: t
251.6790 	DATA 	Keypress: lshift
251.6791 	DATA 	Keypress: t
252.5291 	DATA 	Keypress: lshift
252.5292 	DATA 	Keypress: a
253.2790 	DATA 	Keypress: lshift
253.2791 	DATA 	Keypress: t
253.8799 	DATA 	Keypress: lshift
253.8800 	DATA 	Keypress: a
254.8802 	DATA 	Keypress: lshift
254.8803 	DATA 	Keypress: t
256.4818 	DATA 	Keypress: lshift
256.4819 	DATA 	Keypress: t
258.0823 	DATA 	Keypress: lshift
258.0824 	DATA 	Keypress: t
258.3358 	DATA 	Keypress: lshift
258.3360 	DATA 	Keypress: a
259.6842 	DATA 	Keypress: lshift
259.6843 	DATA 	Keypress: t
260.7518 	DATA 	Keypress: lshift
260.7519 	DATA 	Keypress: a
261.2845 	DATA 	Keypress: lshift
261.2846 	DATA 	Keypress: t
262.8861 	DATA 	Keypress: lshift
262.8862 	DATA 	Keypress: t
264.2877 	DATA 	Keypress: c
264.4873 	DATA 	Keypress: lshift
264.4874 	DATA 	Keypress: t
266.0895 	DATA 	Keypress: lshift
266.0897 	DATA 	Keypress: t
266.5565 	DATA 	Keypress: lshift
266.5566 	DATA 	Keypress: a
267.6889 	DATA 	Keypress: lshift
267.6890 	DATA 	Keypress: t
269.2905 	DATA 	Keypress: lshift
269.2907 	DATA 	Keypress: t
270.8917 	DATA 	Keypress: lshift
270.8918 	DATA 	Keypress: t
270.9423 	DATA 	Keypress: c
271.9595 	DATA 	Keypress: lshift
271.9596 	DATA 	Keypress: a
272.4931 	DATA 	Keypress: lshift
272.4932 	DATA 	Keypress: t
274.0786 	DATA 	Keypress: lshift
274.0787 	DATA 	Keypress: t
275.6790 	DATA 	Keypress: lshift
275.6791 	DATA 	Keypress: t
276.6293 	DATA 	Keypress: c
277.2792 	DATA 	Keypress: lshift
277.2793 	DATA 	Keypress: t
278.0141 	DATA 	Keypress: lshift
278.0142 	DATA 	Keypress: a
278.8813 	DATA 	Keypress: lshift
278.8814 	DATA 	Keypress: t
280.4821 	DATA 	Keypress: lshift
280.4821 	DATA 	Keypress: t
282.0830 	DATA 	Keypress: lshift
282.0831 	DATA 	Keypress: t
282.2502 	DATA 	Keypress: c
283.6844 	DATA 	Keypress: lshift
283.6845 	DATA 	Keypress: t
285.0857 	DATA 	Keypress: c
285.2856 	DATA 	Keypress: lshift
285.2857 	DATA 	Keypress: t
286.8864 	DATA 	Keypress: lshift
286.8865 	DATA 	Keypress: t
288.4878 	DATA 	Keypress: lshift
288.4879 	DATA 	Keypress: t
290.0899 	DATA 	Keypress: lshift
290.0901 	DATA 	Keypress: t
290.6153 	DATA 	Keypress: c
291.6912 	DATA 	Keypress: lshift
291.6914 	DATA 	Keypress: t
292.3751 	DATA 	Keypress: lshift
292.3752 	DATA 	Keypress: a
293.2925 	DATA 	Keypress: lshift
293.2927 	DATA 	Keypress: t
294.8794 	DATA 	Keypress: lshift
294.8795 	DATA 	Keypress: t
295.4437 	DATA 	Keypress: c
