Weapon,Animal,HighThreat,LowThreat,Danger,Safe,Full_Loop.thisRepN,Full_Loop.thisTrialN,Full_Loop.thisN,Full_Loop.thisIndex,Weapon_loop.thisRepN,Weapon_loop.thisTrialN,Weapon_loop.thisN,Weapon_loop.thisIndex,Weapon_img_loop.thisRepN,Weapon_img_loop.thisTrialN,Weapon_img_loop.thisN,Weapon_img_loop.thisIndex,Animal_loop.thisRepN,Animal_loop.thisTrialN,Animal_loop.thisN,Animal_loop.thisIndex,Animal_img_loop.thisRepN,Animal_img_loop.thisTrialN,Animal_img_loop.thisN,Animal_img_loop.thisIndex,Low_Threat_loop.thisRepN,Low_Threat_loop.thisTrialN,Low_Threat_loop.thisN,Low_Threat_loop.thisIndex,Low_Threat_img_loop.thisRepN,Low_Threat_img_loop.thisTrialN,Low_Threat_img_loop.thisN,Low_Threat_img_loop.thisIndex,Safe_loop.thisRepN,Safe_loop.thisTrialN,Safe_loop.thisN,Safe_loop.thisIndex,Safe_img_loop.thisRepN,Safe_img_loop.thisTrialN,Safe_img_loop.thisN,Safe_img_loop.thisIndex,Danger_loop.thisRepN,Danger_loop.thisTrialN,Danger_loop.thisN,Danger_loop.thisIndex,Danger_img_loop.thisRepN,Danger_img_loop.thisTrialN,Danger_img_loop.thisN,Danger_img_loop.thisIndex,High_Threat_loop.thisRepN,High_Threat_loop.thisTrialN,High_Threat_loop.thisN,High_Threat_loop.thisIndex,High_Threat_img_loop.thisRepN,High_Threat_img_loop.thisTrialN,High_Threat_img_loop.thisN,High_Threat_img_loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.corr,trigger_resp.rt,wait.started,weapon_img.started,ISI_weapon.started,weapon_img.stopped,ITI_Weapon.started,anima_img.started,ISI_animal.started,anima_img.stopped,ITI_Animal.started,Low_Threat_img.started,ISI_low_threat.started,Low_Threat_img.stopped,ITI_Low_Threat.started,safe_img.started,ISI_safe.started,safe_img.stopped,ITI_Safe.started,danger_img.started,ISI_danger.started,danger_img.stopped,ITI_Danger.started,High_Threat_img.started,ISI_High_Threat.started,High_Threat_img.stopped,ITI_High_Threat.started,completion.started,completion_resp.started,completion_resp.keys,completion_resp.rt,participant,session (pre/post),date,expName,psychopyVersion,frameRate,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.6216757352231,131.903097797418,131.93641674728133,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.02172044990584,132.30350148072466,132.33661961299367,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.42186187556945,132.7054070298327,132.7219488871051,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.8226165631786,133.10401729191653,133.1375086151529,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2231926197419,133.50448440632317,133.5375575964572,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.62351352977566,133.9046127476031,133.9380400708178,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0232615689747,134.30493223539088,134.33828076755162,,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.42147275584284,,,,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.41573153238278,146.6972668033559,146.7304981444031,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.8161286734976,147.09922753472347,147.11570908979047,,,,,,,,,,,,,,Maddy,pre,2023-12-14_08h58.20.465,Localizer,2023.1.0,59.85197152759694,
