Weapon,Animal,HighThreat,LowThreat,Danger,Safe,Full_Loop.thisRepN,Full_Loop.thisTrialN,Full_Loop.thisN,Full_Loop.thisIndex,Weapon_loop.thisRepN,Weapon_loop.thisTrialN,Weapon_loop.thisN,Weapon_loop.thisIndex,Weapon_img_loop.thisRepN,Weapon_img_loop.thisTrialN,Weapon_img_loop.thisN,Weapon_img_loop.thisIndex,Animal_loop.thisRepN,Animal_loop.thisTrialN,Animal_loop.thisN,Animal_loop.thisIndex,Animal_img_loop.thisRepN,Animal_img_loop.thisTrialN,Animal_img_loop.thisN,Animal_img_loop.thisIndex,Low_Threat_loop.thisRepN,Low_Threat_loop.thisTrialN,Low_Threat_loop.thisN,Low_Threat_loop.thisIndex,Low_Threat_img_loop.thisRepN,Low_Threat_img_loop.thisTrialN,Low_Threat_img_loop.thisN,Low_Threat_img_loop.thisIndex,Safe_loop.thisRepN,Safe_loop.thisTrialN,Safe_loop.thisN,Safe_loop.thisIndex,Safe_img_loop.thisRepN,Safe_img_loop.thisTrialN,Safe_img_loop.thisN,Safe_img_loop.thisIndex,Danger_loop.thisRepN,Danger_loop.thisTrialN,Danger_loop.thisN,Danger_loop.thisIndex,Danger_img_loop.thisRepN,Danger_img_loop.thisTrialN,Danger_img_loop.thisN,Danger_img_loop.thisIndex,High_Threat_loop.thisRepN,High_Threat_loop.thisTrialN,High_Threat_loop.thisN,High_Threat_loop.thisIndex,High_Threat_img_loop.thisRepN,High_Threat_img_loop.thisTrialN,High_Threat_img_loop.thisN,High_Threat_img_loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.corr,trigger_resp.rt,wait.started,weapon_img.started,ISI_weapon.started,weapon_img.stopped,ITI_Weapon.started,anima_img.started,ISI_animal.started,anima_img.stopped,ITI_Animal.started,Low_Threat_img.started,ISI_low_threat.started,Low_Threat_img.stopped,ITI_Low_Threat.started,safe_img.started,ISI_safe.started,safe_img.stopped,ITI_Safe.started,danger_img.started,ISI_danger.started,danger_img.stopped,ITI_Danger.started,ITI_Danger.stopped,High_Threat_img.started,ISI_High_Threat.started,High_Threat_img.stopped,ITI_High_Threat.started,completion.started,completion_resp.started,completion_resp.keys,completion_resp.rt,participant,session (pre/post),date,expName,psychopyVersion,frameRate,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.52192416694015,53.792618749896064,53.82836270797998,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92065954208374,54.192631541984156,54.22836066689342,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.32019799994305,54.59263312490657,54.628559541888535,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.72035195794888,54.992641541874036,55.028723124880344,,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.11111199995503,,,,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.146353041986,67.39250808302313,67.45897591696121,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.51887229201384,67.79241062491201,67.82804337493144,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.91594070801511,68.1922746670898,68.2279673749581,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3190379999578,68.59231120790355,68.6284158329945,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71845958288759,68.99232116690837,69.02846258296631,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
